            V          S(V)          A(V)          I(V)          T(V)
          441
       4500.0           0.0          0.00      0.000000         0.000
       4490.0          56.0          0.00      0.000178         0.012
       4480.0         112.1          0.02      0.000358         0.025
       4470.0         168.2          0.05      0.000538         0.038
       4460.0         224.4          0.08      0.000719         0.050
       4450.0         280.6          0.13      0.000902         0.063
       4440.0         336.8          0.18      0.001085         0.075
       4430.0         393.1          0.25      0.001269         0.088
       4420.0         449.4          0.32      0.001454         0.101
       4410.0         505.8          0.41      0.001640         0.114
       4400.0         562.2          0.51      0.001827         0.126
       4390.0         618.7          0.62      0.002015         0.139
       4380.0         675.2          0.74      0.002204         0.152
       4370.0         731.8          0.87      0.002395         0.165
       4360.0         788.4          1.01      0.002586         0.178
       4350.0         845.0          1.16      0.002778         0.191
       4340.0         901.7          1.32      0.002971         0.204
       4330.0         958.4          1.50      0.003165         0.217
       4320.0        1015.2          1.68      0.003361         0.230
       4310.0        1072.0          1.88      0.003557         0.243
       4300.0        1128.9          2.09      0.003754         0.257
       4290.0        1185.8          2.31      0.003953         0.270
       4280.0        1242.7          2.54      0.004152         0.283
       4270.0        1299.7          2.78      0.004353         0.296
       4260.0        1356.7          3.03      0.004555         0.310
       4250.0        1413.8          3.30      0.004758         0.323
       4240.0        1470.9          3.58      0.004962         0.337
       4230.0        1528.1          3.87      0.005167         0.350
       4220.0        1585.3          4.17      0.005373         0.364
       4210.0        1642.5          4.48      0.005580         0.377
       4200.0        1699.8          4.81      0.005789         0.391
       4190.0        1757.2          5.15      0.005999         0.405
       4180.0        1814.6          5.50      0.006210         0.418
       4170.0        1872.0          5.86      0.006422         0.432
       4160.0        1929.5          6.23      0.006635         0.446
       4150.0        1987.0          6.62      0.006849         0.460
       4140.0        2044.6          7.02      0.007065         0.474
       4130.0        2102.2          7.43      0.007282         0.488
       4120.0        2159.8          7.86      0.007500         0.502
       4110.0        2217.5          8.30      0.007719         0.516
       4100.0        2275.2          8.75      0.007939         0.530
       4090.0        2333.0          9.22      0.008161         0.544
       4080.0        2390.9          9.70      0.008384         0.558
       4070.0        2448.8         10.19      0.008608         0.572
       4060.0        2506.7         10.69      0.008834         0.586
       4050.0        2564.7         11.21      0.009061         0.601
       4040.0        2622.7         11.74      0.009289         0.615
       4030.0        2680.8         12.29      0.009519         0.629
       4020.0        2739.0         12.85      0.009750         0.644
       4010.0        2797.2         13.42      0.009982         0.658
       4000.0        2855.4         14.01      0.010215         0.673
       3990.0        2913.6         14.61      0.010450         0.687
       3980.0        2971.9         15.23      0.010686         0.702
       3970.0        3030.2         15.86      0.010924         0.717
       3960.0        3088.6         16.50      0.011163         0.731
       3950.0        3147.1         17.16      0.011403         0.746
       3940.0        3205.5         17.84      0.011645         0.761
       3930.0        3264.1         18.53      0.011889         0.776
       3920.0        3322.7         19.23      0.012133         0.791
       3910.0        3381.3         19.95      0.012380         0.806
       3900.0        3440.0         20.68      0.012627         0.821
       3890.0        3498.7         21.43      0.012876         0.836
       3880.0        3557.5         22.20      0.013127         0.851
       3870.0        3616.4         22.98      0.013379         0.866
       3860.0        3675.3         23.77      0.013633         0.882
       3850.0        3734.2         24.58      0.013888         0.897
       3840.0        3793.1         25.41      0.014145         0.912
       3830.0        3852.2         26.25      0.014403         0.928
       3820.0        3911.3         27.11      0.014663         0.943
       3810.0        3970.4         27.99      0.014924         0.959
       3800.0        4029.6         28.88      0.015188         0.974
       3790.0        4088.9         29.79      0.015452         0.990
       3780.0        4148.2         30.71      0.015719         1.005
       3770.0        4207.6         31.65      0.015987         1.021
       3760.0        4267.1         32.61      0.016256         1.037
       3750.0        4326.6         33.58      0.016528         1.053
       3740.0        4386.1         34.58      0.016801         1.069
       3730.0        4445.8         35.59      0.017076         1.085
       3720.0        4505.5         36.61      0.017352         1.101
       3710.0        4565.2         37.66      0.017631         1.117
       3700.0        4624.9         38.72      0.017911         1.133
       3690.0        4684.7         39.80      0.018193         1.149
