            V          S(V)          A(V)          I(V)          T(V)
          441
       4500.0           0.0          0.00      0.000000         0.000
       4490.0          57.5          0.01      0.000183         0.013
       4480.0         114.9          0.02      0.000367         0.026
       4470.0         172.5          0.05      0.000552         0.038
       4460.0         230.0          0.08      0.000737         0.051
       4450.0         287.6          0.13      0.000924         0.064
       4440.0         345.1          0.19      0.001112         0.077
       4430.0         402.8          0.26      0.001300         0.090
       4420.0         460.4          0.34      0.001489         0.103
       4410.0         518.0          0.43      0.001680         0.116
       4400.0         575.7          0.53      0.001871         0.129
       4390.0         633.4          0.65      0.002063         0.143
       4380.0         691.2          0.77      0.002257         0.156
       4370.0         748.9          0.91      0.002451         0.169
       4360.0         806.7          1.06      0.002646         0.182
       4350.0         864.5          1.21      0.002842         0.195
       4340.0         922.3          1.38      0.003039         0.209
       4330.0         980.2          1.57      0.003237         0.222
       4320.0        1038.0          1.76      0.003436         0.235
       4310.0        1095.9          1.96      0.003636         0.249
       4300.0        1153.8          2.18      0.003837         0.262
       4290.0        1211.8          2.41      0.004039         0.276
       4280.0        1269.7          2.65      0.004242         0.289
       4270.0        1327.7          2.90      0.004446         0.303
       4260.0        1385.6          3.16      0.004652         0.316
       4250.0        1443.7          3.44      0.004858         0.330
       4240.0        1501.7          3.73      0.005065         0.344
       4230.0        1559.8          4.03      0.005273         0.357
       4220.0        1617.8          4.34      0.005483         0.371
       4210.0        1676.0          4.67      0.005693         0.385
       4200.0        1734.1          5.00      0.005905         0.399
       4190.0        1792.2          5.35      0.006117         0.413
       4180.0        1850.4          5.71      0.006331         0.427
       4170.0        1908.6          6.09      0.006546         0.441
       4160.0        1966.8          6.48      0.006762         0.455
       4150.0        2025.1          6.88      0.006979         0.469
       4140.0        2083.3          7.29      0.007197         0.483
       4130.0        2141.6          7.71      0.007416         0.497
       4120.0        2199.8          8.15      0.007637         0.511
       4110.0        2258.1          8.61      0.007858         0.525
       4100.0        2316.5          9.07      0.008081         0.539
       4090.0        2374.8          9.55      0.008305         0.553
       4080.0        2433.2         10.04      0.008530         0.568
       4070.0        2491.6         10.54      0.008756         0.582
       4060.0        2550.1         11.06      0.008984         0.596
       4050.0        2608.5         11.59      0.009213         0.611
       4040.0        2667.0         12.14      0.009443         0.625
       4030.0        2725.5         12.70      0.009674         0.640
       4020.0        2784.0         13.27      0.009906         0.654
       4010.0        2842.5         13.86      0.010140         0.669
       4000.0        2901.0         14.46      0.010375         0.684
       3990.0        2959.8         15.07      0.010612         0.698
       3980.0        3018.3         15.70      0.010849         0.713
       3970.0        3076.9         16.34      0.011087         0.728
       3960.0        3135.5         17.00      0.011327         0.742
       3950.0        3194.1         17.67      0.011568         0.757
       3940.0        3252.7         18.36      0.011811         0.772
       3930.0        3311.4         19.06      0.012055         0.787
       3920.0        3370.1         19.77      0.012300         0.802
       3910.0        3428.9         20.50      0.012546         0.817
       3900.0        3487.6         21.25      0.012794         0.832
       3890.0        3546.3         22.00      0.013043         0.847
       3880.0        3605.0         22.78      0.013294         0.862
       3870.0        3663.8         23.57      0.013545         0.877
       3860.0        3722.6         24.37      0.013799         0.893
       3850.0        3781.4         25.19      0.014053         0.908
       3840.0        3840.2         26.02      0.014309         0.923
       3830.0        3899.0         26.87      0.014567         0.938
       3820.0        3957.8         27.74      0.014825         0.954
       3810.0        4016.7         28.62      0.015086         0.969
       3800.0        4075.7         29.52      0.015348         0.985
       3790.0        4134.6         30.43      0.015611         1.000
       3780.0        4193.6         31.36      0.015876         1.016
       3770.0        4252.6         32.30      0.016142         1.032
       3760.0        4311.6         33.26      0.016409         1.047
       3750.0        4370.6         34.24      0.016679         1.063
       3740.0        4429.6         35.23      0.016950         1.079
       3730.0        4488.7         36.24      0.017223         1.094
       3720.0        4547.8         37.27      0.017497         1.110
       3710.0        4607.0         38.31      0.017773         1.126
       3700.0        4665.9         39.37      0.018049         1.142
       3690.0        4724.9         40.44      0.018327         1.158
