            V          S(V)          A(V)          I(V)          T(V)
          441
       4500.0           0.0          0.00      0.000000         0.000
       4490.0          41.9          0.00      0.000134         0.009
       4480.0          83.9          0.01      0.000268         0.019
       4470.0         125.9          0.03      0.000403         0.028
       4460.0         168.0          0.05      0.000539         0.037
       4450.0         210.1          0.07      0.000675         0.047
       4440.0         252.2          0.10      0.000812         0.056
       4430.0         294.4          0.14      0.000950         0.066
       4420.0         336.6          0.18      0.001089         0.075
       4410.0         378.9          0.23      0.001229         0.085
       4400.0         421.2          0.29      0.001369         0.095
       4390.0         463.6          0.35      0.001510         0.104
       4380.0         506.0          0.41      0.001652         0.114
       4370.0         548.5          0.49      0.001795         0.124
       4360.0         591.0          0.57      0.001938         0.133
       4350.0         633.5          0.65      0.002083         0.143
       4340.0         676.1          0.74      0.002228         0.153
       4330.0         718.8          0.84      0.002374         0.163
       4320.0         761.4          0.95      0.002521         0.173
       4310.0         804.2          1.06      0.002668         0.183
       4300.0         846.9          1.17      0.002817         0.193
       4290.0         889.8          1.30      0.002966         0.203
       4280.0         932.6          1.43      0.003117         0.213
       4270.0         975.5          1.57      0.003268         0.223
       4260.0        1018.5          1.71      0.003420         0.233
       4250.0        1061.5          1.86      0.003573         0.243
       4240.0        1104.6          2.02      0.003726         0.253
       4230.0        1147.7          2.18      0.003881         0.263
       4220.0        1190.8          2.35      0.004036         0.273
       4210.0        1234.0          2.53      0.004193         0.284
       4200.0        1277.3          2.71      0.004350         0.294
       4190.0        1320.6          2.91      0.004509         0.304
       4180.0        1363.9          3.11      0.004668         0.314
       4170.0        1407.3          3.31      0.004828         0.325
       4160.0        1450.8          3.52      0.004989         0.335
       4150.0        1494.3          3.74      0.005151         0.346
       4140.0        1537.8          3.97      0.005314         0.356
       4130.0        1581.4          4.21      0.005478         0.367
       4120.0        1625.0          4.45      0.005643         0.377
       4110.0        1668.6          4.70      0.005809         0.388
       4100.0        1712.3          4.96      0.005976         0.399
       4090.0        1756.1          5.22      0.006144         0.409
       4080.0        1799.9          5.50      0.006313         0.420
       4070.0        1843.8          5.78      0.006483         0.431
       4060.0        1887.7          6.07      0.006654         0.442
       4050.0        1931.7          6.36      0.006826         0.452
       4040.0        1975.7          6.67      0.006999         0.463
       4030.0        2019.8          6.98      0.007174         0.474
       4020.0        2063.9          7.30      0.007349         0.485
       4010.0        2108.1          7.63      0.007525         0.496
       4000.0        2152.3          7.96      0.007703         0.507
       3990.0        2196.6          8.31      0.007881         0.518
       3980.0        2240.9          8.66      0.008060         0.529
       3970.0        2285.2          9.02      0.008241         0.541
       3960.0        2329.6          9.39      0.008423         0.552
       3950.0        2374.0          9.77      0.008605         0.563
       3940.0        2418.5         10.16      0.008789         0.574
       3930.0        2463.1         10.55      0.008975         0.586
       3920.0        2507.7         10.96      0.009161         0.597
       3910.0        2552.3         11.37      0.009348         0.608
       3900.0        2597.0         11.79      0.009537         0.620
       3890.0        2641.8         12.23      0.009727         0.631
       3880.0        2686.6         12.67      0.009918         0.643
       3870.0        2731.4         13.11      0.010110         0.654
       3860.0        2776.4         13.57      0.010304         0.666
       3850.0        2821.3         14.04      0.010499         0.678
       3840.0        2866.3         14.52      0.010695         0.689
       3830.0        2911.4         15.00      0.010892         0.701
       3820.0        2956.7         15.50      0.011090         0.713
       3810.0        3001.8         16.01      0.011290         0.725
       3800.0        3047.0         16.52      0.011491         0.737
       3790.0        3092.3         17.05      0.011693         0.749
       3780.0        3137.6         17.58      0.011897         0.761
       3770.0        3183.0         18.12      0.012102         0.773
       3760.0        3228.4         18.68      0.012308         0.785
       3750.0        3273.9         19.24      0.012515         0.797
       3740.0        3319.4         19.82      0.012724         0.809
       3730.0        3365.1         20.40      0.012935         0.821
       3720.0        3410.7         21.00      0.013147         0.834
       3710.0        3456.5         21.61      0.013360         0.846
       3700.0        3502.2         22.22      0.013574         0.858
       3690.0        3547.9         22.85      0.013790         0.871
